left_eye :
Accuracy : 63.33 %
----------------------------------------------
mouth :

anger :
anger 0.9496055841445923
anger 0.974070131778717
neutral 0.5827744007110596
anger 0.9931255578994751

contempt :
contempt 0.9262270927429199

disgust :
disgust 0.9987000226974487
disgust 0.9999997615814209
disgust 1.0
disgust 0.9999784231185913
disgust 0.9999969005584717

fear :
fear 0.9999803304672241
fear 0.9999974966049194

happy :
happy 0.9999388456344604
happy 1.0
happy 1.0
happy 1.0
happy 0.9999990463256836
happy 1.0

neutral :
neutral 0.9999278783798218
neutral 0.9974000453948975
neutral 0.9995396137237549
neutral 0.9999833106994629
neutral 0.9996793270111084
neutral 0.9999828338623047
neutral 0.9990864992141724
neutral 0.9999861717224121
neutral 0.9997761845588684
neutral 0.9967792630195618
neutral 0.9999855756759644
neutral 0.9999927282333374
neutral 0.9996230602264404
neutral 0.9890667200088501
neutral 0.9999861717224121
neutral 0.9993877410888672
neutral 0.9999926090240479
neutral 0.9925312399864197
neutral 0.99972003698349
neutral 0.9999880790710449
neutral 0.9999808073043823
fear 0.5308582186698914
neutral 0.8521514534950256
neutral 0.9997544884681702
neutral 0.9999582767486572
neutral 0.9999597072601318
neutral 0.9999885559082031
neutral 0.9999980926513672
neutral 0.9995197057723999
neutral 0.9996219873428345
neutral 0.9995964169502258
neutral 0.9998576641082764

sadness :
sadness 0.9993627667427063
sadness 0.9998433589935303

surprise :
surprise 1.0
surprise 1.0
surprise 1.0
surprise 1.0
surprise 1.0
surprise 1.0
surprise 1.0
surprise 1.0

Accuracy : 96.67 %
----------------------------------------------
eyes_nose :

anger :
anger 0.944378674030304
anger 0.9895366430282593
anger 0.9561604857444763
neutral 0.6377062797546387

contempt :
contempt 0.7788051962852478

disgust :
disgust 0.9928787350654602
disgust 0.9999998807907104
disgust 0.9999996423721313
disgust 0.9709003567695618
disgust 0.9999946355819702

fear :
fear 0.25211861729621887
fear 0.757540762424469

happy :
happy 0.9997876286506653
happy 0.9999788999557495
happy 0.9999961853027344
happy 0.9999802112579346
happy 0.9999945163726807
happy 0.9999915361404419

neutral :
neutral 0.9912610650062561
neutral 0.9923098087310791
neutral 0.985435426235199
neutral 0.9989386200904846
neutral 0.9920560717582703
neutral 0.9905283451080322
neutral 0.9926188588142395
neutral 0.9767506122589111
neutral 0.9933104515075684
neutral 0.9650276303291321
neutral 0.998843789100647
neutral 0.9902898669242859
neutral 0.982348620891571
neutral 0.9746637344360352
neutral 0.9926437735557556
neutral 0.9994359612464905
neutral 0.9941791296005249
neutral 0.8443511724472046
neutral 0.9919310212135315
neutral 0.9981876015663147
neutral 0.996653139591217
neutral 0.9960954785346985
neutral 0.9873494505882263
neutral 0.4531261622905731
neutral 0.994325578212738
neutral 0.9814898371696472
neutral 0.9998393058776855
neutral 0.9997995495796204
neutral 0.981910765171051
neutral 0.6930338740348816
neutral 0.9737312197685242
neutral 0.9866241216659546

sadness :
sadness 0.7517601847648621
sadness 0.5363699793815613

surprise :
surprise 0.9839534759521484
surprise 0.8845259547233582
surprise 0.9965246319770813
surprise 0.9998592138290405
surprise 0.9716939926147461
surprise 0.999398946762085
surprise 0.9947576522827148
surprise 0.998875081539154

Accuracy : 98.33 %
----------------------------------------------
nose_mouth :

anger :
anger 0.9987927675247192
anger 0.9979641437530518
anger 0.9434769153594971
anger 0.9863013029098511

contempt :
contempt 0.9975467324256897

disgust :
disgust 0.7115948796272278
disgust 0.9999980926513672
disgust 0.9999899864196777
disgust 0.9999302625656128
disgust 0.9999858140945435

fear :
fear 0.9377779960632324
fear 0.9921506643295288

happy :
happy 0.9998413324356079
happy 0.999396800994873
happy 0.9999996423721313
happy 0.9999998807907104
happy 0.9996764659881592
happy 0.999977707862854

neutral :
neutral 1.0
neutral 0.9987170696258545
neutral 0.9932255148887634
neutral 1.0
neutral 0.9998981952667236
neutral 0.9997153878211975
neutral 0.9999549388885498
neutral 0.9999843835830688
neutral 0.9999935626983643
neutral 0.9681388139724731
neutral 0.9999890327453613
neutral 0.9999963045120239
neutral 0.9999991655349731
neutral 0.9999761581420898
neutral 0.9999971389770508
neutral 0.9999589920043945
neutral 0.9999724626541138
neutral 0.9961279034614563
neutral 1.0
neutral 0.9999966621398926
neutral 1.0
neutral 0.9280127286911011
neutral 0.9087886214256287
neutral 0.9999916553497314
neutral 1.0
neutral 0.999966025352478
neutral 0.9999998807907104
neutral 0.9999998807907104
neutral 0.9999958276748657
neutral 0.999262273311615
neutral 0.9276694655418396
neutral 0.9999816417694092

sadness :
sadness 0.9924749732017517
sadness 0.9619576334953308

surprise :
surprise 0.9999998807907104
surprise 0.9999998807907104
surprise 1.0
surprise 0.9999980926513672
surprise 1.0
surprise 0.9997653365135193
surprise 1.0
surprise 0.9992602467536926

Accuracy : 100.00 %
----------------------------------------------
face :

anger :
anger 0.9880637526512146
anger 0.9778299927711487
anger 0.9657911658287048
anger 0.6350744962692261

contempt :
contempt 0.886120080947876

disgust :
disgust 0.9997325539588928
disgust 1.0
disgust 1.0
disgust 0.9999974966049194
disgust 1.0

fear :
disgust 0.6177752017974854
fear 0.9968830347061157

happy :
happy 0.98673415184021
happy 0.952580988407135
happy 0.9994978904724121
happy 0.998789370059967
happy 0.8238080739974976
happy 0.918911874294281

neutral :
neutral 0.9914564490318298
neutral 0.9992697834968567
neutral 0.7498443126678467
neutral 0.9999600648880005
neutral 0.9987823367118835
neutral 0.9932679533958435
neutral 0.9229852557182312
neutral 0.9889447093009949
neutral 0.9998576641082764
neutral 0.9961786270141602
neutral 0.9977420568466187
neutral 0.9989627599716187
neutral 0.9978678226470947
neutral 0.9824557304382324
neutral 0.9817624092102051
neutral 0.9998563528060913
neutral 0.9917182922363281
neutral 0.9040471911430359
neutral 0.9974763989448547
neutral 0.8668943643569946
neutral 0.9996775388717651
neutral 0.9479197263717651
neutral 0.4138958752155304
neutral 0.992594301700592
neutral 0.9973378777503967
neutral 0.952564537525177
neutral 0.9970236420631409
neutral 0.9995279312133789
neutral 0.9969455599784851
neutral 0.9539547562599182
neutral 0.9990869760513306
neutral 0.9828031063079834

sadness :
sadness 0.9449235796928406
sadness 0.9851048588752747

surprise :
surprise 0.9999617338180542
surprise 0.9999948740005493
surprise 0.9999997615814209
surprise 0.9995326995849609
surprise 0.9999996423721313
surprise 0.9999343156814575
surprise 0.9999845027923584
surprise 0.9942973256111145

Accuracy : 98.33 %
----------------------------------------------
